sentence,audio_file
"I go to the movies almost every week","Audio/Easy/I go to the movies almost every week.mp3"
"Sometimes, I rent movies from the video store","Audio/Easy/Sometimes, I rent movies from the video store.mp3"
"My favorite films are action films","Audio/Easy/My favorite films are action films.mp3"
"I like to watch car chases","Audio/Easy/I like to watch car chases.mp3"
"I like it when the bad guy has a shootout with the good guys","Audio/Easy/I like it when the bad guy has a shootout with the good guys.mp3"
"I like the good guys to win","Audio/Easy/I like the good guys to win.mp3"
"I also like science fiction movies","Audio/Easy/I also like science fiction movies.mp3"
"I like things that take place in the future","Audio/Easy/I like things that take place in the future.mp3"
"I like movies that have aliens from different planets in them","Audio/Easy/I like movies that have aliens from different planets in them.mp3"
"Some of the science fiction movies can be silly and unbelievable","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Easy/Some%20of%20the%20science%20fiction%20movies%20can%20be%20silly%20and%20unbelievable.mp3"
