"sentence","audio_file"
"Today is November 26th","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic2easy/Today%20is%20November%2026th.mp3"
"It snowed all day today","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic2easy/It%20snowed%20all%20day%20today.mp3"
"The snow is beautiful","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic2easy/The%20snow%20is%20beautiful.mp3"
"The snow finally stopped","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic2easy/The%20snow%20finally%20stopped.mp3"
"My sister and I are excited","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic2easy/My%20sister%20and%20I%20are%20excited.mp3"
"My mom doesn't like the snow","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic2easy/My%20mom%20doesn't%20like%20the%20snow.mp3"
"My mom has to shovel the driveway","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic2easy/My%20mom%20has%20to%20shovel%20the%20driveway.mp3"
"My sister and I get to play","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic2easy/My%20sister%20and%20I%20get%20to%20play.mp3"
"I put on my hat and mittens","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic2easy/I%20put%20on%20my%20hat%20and%20mittens.mp3"
"My mom puts on my scarf","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic2easy/My%20mom%20puts%20on%20my%20scarf.mp3"
