"sentence","audio_file"
"I haven't seen you for a bit Marie","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic5hard/I%20haven't%20seen%20you%20for%20a%20bit%20Marie.mp3"
"No I've been busy with my project","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic5hard/No%20I've%20been%20busy%20with%20my%20project.mp3"
"You're making a vegan alternative to eggs aren't you","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic5hard/You're%20making%20a%20vegan%20alternative%20to%20eggs%20aren't%20you.mp3"
"Something that doesn't use animal products","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic5hard/Something%20that%20doesn't%20use%20animal%20products.mp3"
"Yes I'm using chickpeas","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic5hard/Yes%20I'm%20using%20chickpeas.mp3"
"I had two main aims when I first started looking for an alternative to eggs","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic5hard/I%20had%20two%20main%20aims%20when%20I%20first%20started%20looking%20for%20an%20alternative%20to%20eggs.mp3"
"but actually I've found chickpeas have got more advantages","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic5hard/but%20actually%20I've%20found%20chickpeas%20have%20got%20more%20advantages.mp3"
"But how about your project on reusing waste food","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic5hard/But%20how%20about%20your%20project%20on%20reusing%20waste%20food.mp3"
"You were looking at bread weren't you","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic5hard/You%20were%20looking%20at%20bread%20weren't%20you.mp3"
"Yes It's been hard work but I've enjoyed it","https://raw.githubusercontent.com/Phamlong2675/Python-Project/refs/heads/main/Audio/Topic5hard/Yes%20It's%20been%20hard%20work%20but%20I've%20enjoyed%20it.mp3"
